!MOLECULE
SO  spectroscopy from CDMS
!MOLECULAR WEIGHT
48.0
!NUMBER OF ENERGY LEVELS
91
!LEVEL + ENERGIES(cm^-1) + WEIGHT  + N_J
   1       0.0000       1        1_0
   2       1.0007       3        0_1
   3       3.0999       5        1_2
   4       6.4122       7        2_3
   5      10.5520       3        1_1
   6      10.9871       3        2_1
   7      11.0213       9        3_4
   8      13.4238       5        2_2
   9      14.6314       5        3_2
  10      16.9790      11        4_5
  11      17.7314       7        3_3
  12      19.9341       7        4_3
  13      23.4748       9        4_4
  14      24.3157      13        5_6
  15      26.8114       9        5_4
  16      30.6538      11        5_5
  17      33.0499      15        6_7
  18      35.2114      11        6_5
  19      39.2682      13        6_6
  20      43.1928      17        7_8
  21      45.1032      13        7_6
  22      49.3181      15        7_7
  23      54.7518      19        8_9
  24      56.4683      15        8_7
  25      60.8030      17        8_8
  26      67.7314      21        9_10
  27      69.2947      17        9_8
  28      73.7229      19        9_9
  29      82.1350      23        10_11
  30      83.5749      19        10_9
  31      88.0775      21        10_10
  32      97.9646      25        11_12
  33      99.3037      21        11_10
  34     103.8665      23        11_11
  35     115.2217      27        12_13
  36     116.4774      23        12_11
  37     121.0896      25        12_12
  38     133.9073      29        13_14
  39     135.0932      25        13_12
  40     139.7465      27        13_13
  41     154.0219      31        14_15
  42     155.1490      27        14_13
  43     159.8369      29        14_14
  44     175.5660      33        15_16
  45     176.6432      29        15_14
  46     181.3602      31        15_15
  47     198.5397      35        16_17
  48     199.5743      31        16_15
  49     204.3163      33        16_16
  50     222.9432      37        17_18
  51     223.9412      33        17_16
  52     228.7045      35        17_17
  53     248.7762      39        18_19
  54     249.7428      35        18_17
  55     254.5245      37        18_18
  56     276.0386      41        19_20
  57     276.9782      37        19_18
  58     281.7758      39        19_19
  59     304.7302      43        20_21
  60     305.6464      39        20_19
  61     310.4578      41        20_20
  62     334.8506      45        21_22
  63     335.7466      41        21_20
  64     340.5700      43        21_21
  65     366.3994      47        22_23
  66     367.2780      43        22_21
  67     372.1119      45        22_22
  68     399.3762      49        23_24
  69     400.2398      45        23_22
  70     405.0827      47        23_23
  71     433.7804      51        24_25
  72     434.6312      47        24_23
  73     439.4820      49        24_24
  74     469.6115      53        25_26
  75     470.4514      49        25_24
  76     475.3091      51        25_25
  77     506.8689      55        26_27
  78     507.6996      51        26_25
  79     512.5632      53        26_26
  80     545.5520      57        27_28
  81     546.3750      53        27_26
  82     551.2437      55        27_27
  83     585.6602      59        28_29
  84     586.4767      55        28_27
  85     591.3499      57        28_28
  86     627.1926      61        29_30
  87     628.0040      57        29_28
  88     632.8809      59        29_29
  89     670.1486      63        30_31
  90     670.9559      59        30_29
  91     675.8360      61        30_30
!NUMBER OF RADIATIVE TRANSITIONS
301
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1      2.361e-07        30.0015800         1.4
    2     3     2      2.646e-06        62.9318000         4.5
    3     4     3      1.125e-05        99.2998700         9.2
    4     5     1      8.468e-08       316.3416930        15.2
    5     5     2      1.403e-05       286.3401520        15.2
    6     6     1      1.423e-05       329.3854770        15.8
