!MOLECULE
 CN v=0 from constants of Klisch et al. 1995
!MOLECULAR WEIGHT
26.0
!NUMBER OF ENERGY LEVELS
41
!LEVEL + ENERGIES(cm^-1) + WEIGHT + QNUM(N_J)
    1      0.00000000      2.0      0_0.5
    2      3.77490058      2.0      1_0.5
    3      3.78578305      4.0      1_1.5
    4     11.33543032      4.0      2_1.5
    5     11.35356777      6.0      2_2.5
    6     22.67765397      6.0      3_2.5
    7     22.70304639      8.0      3_3.5
    8     37.80110987      8.0      4_3.5
    9     37.83375728     10.0      4_4.5
   10     56.70518250     10.0      5_4.5
   11     56.74508489     12.0      5_5.5
   12     79.38910244     12.0      6_5.5
   13     79.43625980     14.0      6_6.5
   14    105.85194638     14.0      7_6.5
   15    105.90635873     16.0      7_7.5
   16    136.09263716     16.0      8_7.5
   17    136.15430448     18.0      8_8.5
   18    170.10994369     18.0      9_8.5
   19    170.17886599     20.0      9_9.5
   20    207.90248103     20.0     10_9.5
   21    207.97865831     22.0     10_10.5
   22    249.46871035     22.0     11_10.5
   23    249.55214261     24.0     11_11.5
   24    294.80693893     24.0     12_11.5
   25    294.89762617     26.0     12_12.5
   26    343.91532018     26.0     13_12.5
   27    344.01326240     28.0     13_13.5
   28    396.79185361     28.0     14_13.5
   29    396.89705081     30.0     14_14.5
   30    453.43438485     30.0     15_14.5
   31    453.54683703     32.0     15_15.5
   32    513.84060566     32.0     16_15.5
   33    513.96031282     34.0     16_16.5
   34    578.00805391     34.0     17_16.5
   35    578.13501604     36.0     17_17.5
   36    645.93411357     36.0     18_17.5
   37    646.06833069     38.0     18_18.5
   38    717.61601476     38.0     19_18.5
   39    717.75748685     40.0     19_19.5
   40    793.05083369     40.0     20_19.5
   41    793.19956076     42.0     20_20.5
!NUMBER OF RADIATIVE TRANSITIONS
   59
!TRANS + UP + LOW + EINSTEIN_A[s-1] + FREQ[GHz] + E_u[K]
    1    2    1   1.182E-05      113.1686723       5.43
    2    3    1   1.193E-05      113.4949205       5.45
    3    4    3   1.892E-05      226.3327313      16.31
    4    4    2   9.499E-05      226.6589795      16.31
    5    5    3   1.143E-04      226.8764783      16.34
    6    6    5   2.736E-05      339.4875637      32.63
    7    6    4   3.849E-04      340.0313107      32.63
    8    7    5   4.131E-04      340.2488095      32.66
    9    8    7   3.602E-05      452.6285561      54.39
   10    8    6   9.775E-04      453.3898019      54.39
   11    9    7   1.015E-03      453.6073007      54.43
   12   10    9   4.476E-05      565.7510954      81.59
   13   10    8   1.980E-03      566.7298400      81.59
   14   11    9   2.027E-03      566.9473388      81.64
   15   12   11   5.354E-05      678.8505681     114.22
   16   12   10   3.498E-03      680.0468115     114.22
   17   13   11   3.556E-03      680.2643103     114.29
   18   14   13   6.233E-05      791.9223610     152.30
   19   14   12   5.640E-03      793.3361032     152.30
   20   15   13   5.707E-03      793.5536020     152.38
   21   16   15   7.113E-05      904.9618608     195.81
   22   16   14   8.510E-03      906.5931018     195.81
   23   17   15   8.588E-03      906.8106006     195.90
   24   18   17   7.992E-05     1017.9644542     244.75
   25   18   16   1.221E-02     1019.8131940     244.75
   26   19   17   1.230E-02     1020.0306928     244.85
   27   20   19   8.872E-05     1130.9255278     299.12
   28   20   18   1.686E-02     1132.9917664     299.12
   29   21   19   1.696E-02     1133.2092652     299.23
   30   22   21   9.750E-05     1243.8404684     358.93
   31   22   20   2.255E-02     1246.1242058     358.93
   32   23   21   2.266E-02     1246.3417046     359.05
   33   24   23   1.063E-04     1356.7046626     424.16
   34   24   22   2.939E-02     1359.2058988     424.16
   35   25   23   2.951E-02     1359.4233976     424.29
   36   26   25   1.151E-04     1469.5134972     494.82
   37   26   24   3.748E-02     1472.2322322     494.82
   38   27   25   3.762E-02     1472.4497310     494.96
   39   28   27   1.238E-04     1582.2623589     570.89
   40   28   26   4.694E-02     1585.1985927     570.89
   41   29   27   4.708E-02     1585.4160915     571.05
