!MOLECULE
HCS+
!MOLECULAR WEIGHT
45.1
!NUMBER OF ENERGY LEVELS
31
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    1       0.0000    1.0     0
    2       1.4235    3.0     1
    3       4.2704    5.0     2
    4       8.5407    7.0     3
    5      14.2343    9.0     4
    6      21.3513   11.0     5
    7      29.8914   13.0     6
    8      39.8547   15.0     7
    9      51.2409   17.0     8
   10      64.0499   19.0     9
   11      78.2817   21.0    10
   12      93.9359   23.0    11
   13     111.0125   25.0    12
   14     129.5112   27.0    13
   15     149.4317   29.0    14
   16     170.7740   31.0    15
   17     193.5376   33.0    16
   18     217.7223   35.0    17
   19     243.3279   37.0    18
   20     270.3540   39.0    19
   21     298.8002   41.0    20
   22     328.6663   43.0    21
   23     359.9519   45.0    22
   24     392.6566   47.0    23
   25     426.7800   49.0    24
   26     462.3217   51.0    25
   27     499.2813   53.0    26
   28     537.6583   55.0    27
   29     577.4522   57.0    28
   30     618.6626   59.0    29
   31     661.2890   61.0    30
!NUMBER OF RADIATIVE TRANSITIONS
30
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1  1.1559e-06	   42.6741954    2.05
    2     3     2  1.1096e-05	   85.3478900    6.14
    3     4     3  4.0126e-05	  128.0205700   12.29
    4     5     4  9.8625e-05	  170.6916030   20.48
    5     6     5  1.9700e-04	  213.3606500   30.72
    6     7     6  3.4561e-04	  256.0271000   43.01
    7     8     7  5.5493e-04	  298.6904530   57.34
    8     9     8  8.3518e-04	  341.3502290   73.72
    9    10     9  1.1970e-03	  384.0058060   92.15
   10    11    10  1.6505e-03	  426.6567892  112.63
   11    12    11  2.2059e-03	  469.3026050  135.15
   12    13    12  2.8741e-03	  511.9426850  159.72
   13    14    13  3.6648e-03	  554.5766760  186.34
   14    15    14  4.5885e-03	  597.2039070  215.00
   15    16    15  5.6557e-03	  639.8239079  245.70
   16    17    16  6.8761e-03	  682.4361761  278.46
   17    18    17  8.2614e-03	  725.0401800  313.25
   18    19    18  9.8206e-03	  767.6354160  350.09
   19    20    19  1.1564e-02	  810.2213970  388.98
   20    21    20  1.3501e-02	  852.7975478  429.90
   21    22    21  1.5643e-02	  895.3633890  472.87
   22    23    22  1.8001e-02	  937.9183930  517.89
   23    24    23  2.0582e-02	  980.4620663  564.94
   24    25    24  2.3398e-02	 1022.9938721  614.04
   25    26    25  2.6461e-02	 1065.5133033  665.17
   26    27    26  2.9781e-02	 1108.0198456  718.35
   27    28    27  3.3359e-02	 1150.5129847  773.56
   28    29    28  3.7214e-02	 1192.9922066  830.82
   29    30    29  4.1355e-02	 1235.4569973  890.11
   30    31    30  4.5802e-02	 1277.9068431  951.44
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
1 HCS+ - H2 adopting HCO+ - H2 from Flower (1999) + extrapolation
!NUMBER OF COLL TRANS
465
!NUMBER OF COLL TEMPS
15
!COLL TEMPS
   10.0   20.0   30.0   50.0   70.0  100.0  150.0  200.0  250.0  300.0  350.0  400.0  500.0 1000.0 2000.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
    1     2     1  2.6e-10 2.3e-10 2.1e-10 2.0e-10 1.9e-10 1.8e-10 2.0e-10 2.2e-10 2.3e-10 2.5e-10 2.7e-10 2.8e-10 2.9e-10 3.2e-10 3.4e-10
    2     3     1  1.4e-10 1.2e-10 1.1e-10 1.0e-10 9.2e-11 8.8e-11 8.4e-11 8.2e-11 8.1e-11 8.3e-11 8.1e-11 8.5e-11 8.8e-11 9.7e-11 1.1e-10
    3     3     2  3.8e-10 3.7e-10 3.4e-10 3.4e-10 3.3e-10 3.5e-10 3.6e-10 3.8e-10 4.0e-10 4.2e-10 4.4e-10 4.4e-10 4.6e-10 5.1e-10 5.6e-10
    4     4     1  1.0e-10 9.1e-11 8.4e-11 7.3e-11 6.8e-11 6.3e-11 5.9e-11 5.6e-11 5.5e-11 5.5e-11 5.5e-11 5.5e-11 5.8e-11 6.6e-11 7.4e-11
    5     4     2  2.5e-10 2.3e-10 2.1e-10 1.9e-10 1.8e-10 1.7e-10 1.7e-10 1.7e-10 1.8e-10 1.8e-10 1.8e-10 1.8e-10 1.9e-10 2.1e-10 2.3e-10
    6     4     3  4.3e-10 4.2e-10 4.0e-10 3.9e-10 3.9e-10 4.0e-10 4.2e-10 4.3e-10 4.5e-10 4.7e-10 4.9e-10 4.9e-10 5.1e-10 5.7e-10 6.3e-10
    7     5     1  5.9e-11 5.8e-11 5.5e-11 5.2e-11 4.6e-11 4.4e-11 4.1e-11 4.1e-11 4.2e-11 4.2e-11 4.3e-11 4.4e-11 4.7e-11 5.5e-11 6.5e-11
    8     5     2  1.6e-10 1.6e-10 1.5e-10 1.5e-10 1.4e-10 1.3e-10 1.2e-10 1.2e-10 1.2e-10 1.2e-10 1.1e-10 1.1e-10 1.2e-10 1.3e-10 1.5e-10
    9     5     3  2.9e-10 2.7e-10 2.5e-10 2.4e-10 2.3e-10 2.2e-10 2.2e-10 2.2e-10 2.2e-10 2.2e-10 2.2e-10 2.2e-10 2.3e-10 2.6e-10 2.8e-10
   10     5     4  4.0e-10 4.0e-10 3.9e-10 3.9e-10 4.0e-10 4.2e-10 4.4e-10 4.5e-10 4.7e-10 4.9e-10 5.1e-10 5.1e-10 5.3e-10 6.0e-10 6.7e-10
   11     6     1  3.3e-11 3.4e-11 3.4e-11 3.3e-11 3.3e-11 3.1e-11 3.0e-11 2.9e-11 2.7e-11 2.6e-11 2.6e-11 2.6e-11 2.7e-11 3.2e-11 3.7e-11
   12     6     2  1.2e-10 1.2e-10 1.1e-10 1.1e-10 1.0e-10 9.8e-11 9.6e-11 9.6e-11 9.5e-11 9.3e-11 9.4e-11 9.4e-11 9.9e-11 1.2e-10 1.4e-10
   13     6     3  2.1e-10 2.0e-10 1.9e-10 1.8e-10 1.7e-10 1.6e-10 1.5e-10 1.5e-10 1.5e-10 1.4e-10 1.4e-10 1.4e-10 1.5e-10 1.7e-10 1.9e-10
   14     6     4  3.0e-10 2.9e-10 2.8e-10 2.7e-10 2.6e-10 2.5e-10 2.5e-10 2.4e-10 2.4e-10 2.4e-10 2.5e-10 2.5e-10 2.6e-10 2.9e-10 3.3e-10
