Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Product 4,Alpha,Beta,Gamma,T_min,T_max,reduced_mass,extrapolate,exothermicity
@H2,PHOTON,NAN,H,H,NAN,NAN,5.18e-11,0,2.5,,,
#H,#OCN,LH,#HOCN,NAN,NAN,NAN,0.5,0,0,,,,
#C,#HOCN,LH,#CO,#HCN,NAN,NAN,1,0,0,,,,
#H,#CNO,LH,#HCNO,NAN,NAN,NAN,0.5,0,0,,,,
#C,#HCNO,LH,#C2H,#NO,NAN,NAN,1,0,0,,,,
#H,#CNO,LH,#HONC,NAN,NAN,NAN,0.5,0,0,,,,
#O,#HONC,LH,#O2H,#CN,NAN,NAN,1,0,0,,,,
#C,#CNO,LH,#CN,#CO,NAN,NAN,1,0,0,,,,
#C,#NO,LH,#CNO,NAN,NAN,NAN,1,0,0,,,,
HOCN,H,NAN,HNCO,H,NAN,NAN,1.0E-10,0,2000,,,,
HONC,H,NAN,HCNO,H,NAN,NAN,1.0E-10,0,2000,,,,
#H,#HOCN,LH,#H2O,#CN,NAN,NAN,0.5,0,2300,,,,
#H,#HOCN,LH,#H2OCN,NAN,NAN,NAN,0.5,0,1962,,,,
#H,#HCNO,LH,#CH2,#NO,NAN,NAN,0.5,0,2300,,,,
#H,#HCNO,LH,#H2CNO,NAN,NAN,NAN,0.5,0,1962,,,,
#H,#HNCO,LH,#H2NCO,NAN,NAN,NAN,0.5,0,1962,,,,
#H,#H2NCO,LH,#NH2CHO,NAN,NAN,NAN,0.0,0,0,,,,
H,#H2NCO,LH,#HNCO,H2,NAN,NAN,1.0,0,0,,,,
#HCO,#H2COH,LH,#HCOOCH3,NAN,NAN,NAN,1.0,0,0,,,,
#HCO,#CH2OH,LH,#HCOOCH3,NAN,NAN,NAN,1.0,0,0,,,,
#CH3,#H2COH,LH,#CH3OCH3,NAN,NAN,NAN,1.0,0,0,,,,
#CH3,#C2H3,LH,#CH3CHCH2,NAN,NAN,NAN,1.0,0,0,,,,
